ID|name|describe|positiveName|negativeName|showPercent|lastTime|selfBuff|triggerType|countFightScore
0|力道|+0.5%暴击\n+0.5%断连\n+1装备负重|巨力|无力|N|0|target|passive|N
1|灵巧|+0.5%速度\n+0.5%闪避\n+0.5体力上限|巧捷|笨拙|N|0|target|passive|N
2|智力|+0.5%命中\n+0.5%卸力\n+0.5%负面加成|慧根|愚钝|N|0|target|passive|N
3|意志|+0.5%反击\n+0.5%护甲\n+0.5%负面抗性|勇毅|萎靡|N|0|target|passive|N
4|体质|+1生命上限\n+0.5%压制\n+0.5%伤势抗性|壮硕|瘦弱|N|0|target|passive|N
5|经脉|+2内力上限\n+0.5%连击\n+0.5%恢复效率|贯通|断绝|N|0|target|passive|N
6|内功|+1%内力上限|内家|空乏|N|0|target|passive|N
7|轻功|+1%速度|迅疾|迟慢|N|0|target|passive|N
8|绝技|+1%生命上限|独门|庸凡|N|0|target|passive|N
9|拳掌|提升拳掌伤害\n降低受到的拳掌伤害|钢拳|残拳|N|0|target|passive|N
10|剑法|提升剑法伤害\n降低受到的剑法伤害|利剑|锈剑|N|0|target|passive|N
11|刀法|提升刀法伤害\n降低受到的刀法伤害|宝刀|钝刀|N|0|target|passive|N
12|长兵|提升长兵伤害\n降低受到的长兵伤害|银枪|断枪|N|0|target|passive|N
13|奇门|提升奇门伤害\n降低受到的奇门伤害|奇异|无奇|N|0|target|passive|N
14|射术|提升射术伤害\n降低受到的射术伤害|远射|咫尺|N|0|target|passive|N
15|内功威力|内功威力|无|无|Y|0|target|passive|Y
16|轻功威力|轻功威力|无|无|Y|0|target|passive|Y
17|绝技威力|绝技威力|无|无|Y|0|target|passive|Y
18|拳掌威力|拳掌威力|无|无|Y|0|target|passive|Y
19|剑法威力|剑法威力|无|无|Y|0|target|passive|Y
20|刀法威力|刀法威力|无|无|Y|0|target|passive|Y
21|长兵威力|长兵威力|无|无|Y|0|target|passive|Y
22|奇门威力|奇门威力|无|无|Y|0|target|passive|Y
23|射术威力|射术威力|无|无|Y|0|target|passive|Y
24|医术|影响治疗外伤/内伤的效率|无|无|N|0|target|passive|N
25|毒术|影响用毒/解毒的效率|无|无|N|0|target|passive|N
26|学识|影响珍宝鉴定，论战，编纂秘籍，获取门派威望的效率|无|无|N|0|target|passive|N
27|口才|影响交易价格，论战，获取门派银钱的效率|无|无|N|0|target|passive|N
28|采伐|影响获取门派木料/矿石，破坏区域防御的效率|无|无|N|0|target|passive|N
29|木植|影响获取门派粮食/药材，巩固区域防御的效率|无|无|N|0|target|passive|N
30|锻造|影响装备制作/强化，巩固/破坏区域治安的效率|无|无|N|0|target|passive|N
31|炼药|影响丹药制作/强化，巩固/破坏区域人口的效率|无|无|N|0|target|passive|N
32|烹饪|影响饮食制作/强化，巩固/破坏区域民心的效率|无|无|N|0|target|passive|N
33|力道潜力|力道潜力|无|无|N|0|target|passive|N
34|灵巧潜力|灵巧潜力|无|无|N|0|target|passive|N
35|智力潜力|智力潜力|无|无|N|0|target|passive|N
36|意志潜力|意志潜力|无|无|N|0|target|passive|N
37|体质潜力|体质潜力|无|无|N|0|target|passive|N
38|经脉潜力|经脉潜力|无|无|N|0|target|passive|N
39|内功潜力|内功潜力|无|无|N|0|target|passive|N
40|轻功潜力|轻功潜力|无|无|N|0|target|passive|N
41|绝技潜力|绝技潜力|无|无|N|0|target|passive|N
42|拳掌潜力|拳掌潜力|无|无|N|0|target|passive|N
43|剑法潜力|剑法潜力|无|无|N|0|target|passive|N
44|刀法潜力|刀法潜力|无|无|N|0|target|passive|N
45|长兵潜力|长兵潜力|无|无|N|0|target|passive|N
46|奇门潜力|奇门潜力|无|无|N|0|target|passive|N
47|射术潜力|射术潜力|无|无|N|0|target|passive|N
48|医术潜力|医术潜力|无|无|N|0|target|passive|N
49|毒术潜力|毒术潜力|无|无|N|0|target|passive|N
50|学识潜力|学识潜力|无|无|N|0|target|passive|N
51|口才潜力|口才潜力|无|无|N|0|target|passive|N
52|采伐潜力|采伐潜力|无|无|N|0|target|passive|N
53|木植潜力|木植潜力|无|无|N|0|target|passive|N
54|锻造潜力|锻造潜力|无|无|N|0|target|passive|N
55|炼药潜力|炼药潜力|无|无|N|0|target|passive|N
56|烹饪潜力|烹饪潜力|无|无|N|0|target|passive|N
57|生命上限|生命上限|长生|短命|N|0|target|passive|Y
58|体力上限|体力上限|焕发|疲敝|N|0|target|passive|Y
59|内力上限|内力上限|充盈|空虚|N|0|target|passive|Y
60|伤害|造成伤害|强攻|羸弱|Y|0|target|onAttack|Y
61|护甲|降低所受伤害|铁壁|摧折|N|0|target|onDefend|Y
62|护甲率|百分比提升护甲|重甲|弱甲|Y|0|target|onDefend|Y
63|速度|行动速度|轻快|笨重|Y|0|target|passive|Y
64|命中|命中概率|精准|模糊|Y|0|target|onAttack|Y
65|闪避|躲闪攻击|闪转|支拙|Y|0|target|onDefend|Y
66|暴击|伤害加倍|凶暴|优柔|Y|0|target|onAttack|Y
67|卸力|伤害减半|卸力|受力|Y|0|target|onDefend|Y
68|反击|行动条加倍|藏锋|尽出|Y|0|target|onDefend|Y
69|压制|行动条减半|泰山|鸿毛|Y|0|target|onAttack|Y
70|连击|再次攻击|追击|磕绊|Y|0|target|onAttack|Y
71|断连|打断连击|断腕|顺受|Y|0|target|onDefend|Y
72|经验获取|增加获取的经验|广博|浅陋|Y|0|target|passive|N
73|恢复效率|增强恢复的效果|丰沛|枯竭|Y|0|target|passive|Y
74|伤害抗性|降低所受伤害|无|无|Y|0|target|onDefend|Y
75|负面加成|增加施加负面效果的概率|险恶|平坦|Y|0|target|onAttack|Y
76|负面抗性|降低受到负面效果的概率|坚定|动摇|Y|0|target|onDefend|Y
77|伤势抗性|减少所受伤势|乌皮|薄皮|Y|0|target|onDefend|Y
78|失衡|行动条-30%;体力-20|颠簸|无|Y|0|target|onAttack|Y
79|急速|行动条+30%;体力+20|白驹|无|Y|0|target|onAttack|Y
80|外伤|根据生命差造成外伤|无|无|Y|0|target|onAttack|Y
81|内伤|根据内力差造成内伤|无|无|Y|0|target|onAttack|Y
82|毒素|根据毒术差造成中毒|无|无|Y|0|target|onAttack|Y
83|吸血|吸取生命|无|无|Y|0|target|onAttack|Y
84|吸内|吸取内力|无|无|Y|0|target|onAttack|Y
85|削内|削除内力|无|无|Y|0|target|onAttack|Y
86|恢复|每回合恢复5%生命内力|滋养|无|Y|2|self|onAttack|Y
87|灼烧|每回合减少5%生命内力|阳炎|无|Y|2|target|onAttack|Y
88|疗伤|每回合恢复5%生命|回春|无|Y|3|self|onAttack|Y
89|流血|每回合减少5%生命|重创|无|Y|3|target|onAttack|Y
90|调息|每回合恢复10%内力|蕴气|无|Y|3|self|onAttack|Y
91|雷电|每回合减少10%内力|掣电|无|Y|3|target|onAttack|Y
92|蓄力|每回合恢复15点体力|厚积|无|Y|2|self|onAttack|Y
93|疲劳|每回合减少15点体力|力竭|无|Y|2|target|onAttack|Y
94|冰寒|速度/恢复效率-30%|阴寒|无|Y|4294967295|target|onAttack|Y
95|无敌|无视所有伤害|不败|无|Y|1|self|onDefend|Y
96|眩晕|跳过回合|万钧|无|Y|1|target|onAttack|Y
97|手臂点穴|禁用武功|无|无|Y|4294967295|target|onAttack|Y
98|腿足点穴|无法移动;禁用轻功|无|无|Y|4294967295|target|onAttack|Y
99|心胸点穴|力道/经脉-30%;禁用内功|无|无|Y|4294967295|target|onAttack|Y
100|腰腹点穴|灵巧/体质-30%;禁用绝技|无|无|Y|4294967295|target|onAttack|Y
101|头颈点穴|智力/意志/负面抗性-30%|无|无|Y|4294967295|target|onAttack|Y
102|虚弱|伤害-50%|虚弱|无|Y|3|target|onAttack|Y
103|横练|护甲+50%|横练|无|Y|2|self|onDefend|Y
104|破甲|护甲-50%|破甲|无|Y|3|target|onAttack|Y
105|轻灵|速度+50%|轻灵|无|Y|2|self|onAttack|Y
